"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","427","Accept every documented order_by value order_by=DUE_DATE is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedOrderByValue"
"","1500","Handle a create field of the wrong JSON type without a server error Wrong-typed start_date=20261231 is handled without a server error","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","handlesWrongTypedCreateField"
"","3483","Sort by creation date ascending","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","sortsByCreationDateAscending"
"","631","Accept every documented due_date shortcut due_date=NEXT_MONTH_AND_PREVIOUS_TWO_WEEKS is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedDueDateShortcut"
"","181","Reject a create request without a title Payload without title is rejected: {}","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateWithoutTitle"
"","203","Reject a create severity that is not an exact lowercase match severity urgent is rejected on create","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateSeverityThatIsNotAnExactMatch"
"","2251","Exclude a label through the not[labels] negation filter","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","excludesLabelWithNegationFilter"
"","1648","Exclude issues created after the upper bound","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","excludesIssuesCreatedAfterTheUpperBound"
"","1102","Store unusual titles verbatim markup title round-trips verbatim","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","storesUnusualTitlesVerbatim"
"","797","Handle a create field of the wrong JSON type without a server error Wrong-typed confidential=yes is handled without a server error","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","handlesWrongTypedCreateField"
"","2022","Persist an update so a subsequent read reflects it","","2026-09-21","passed","2026-09-21","","PUT /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueUpdateTest","persistsUpdateForSubsequentReads"
"","195","Report an unknown project path as 404","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","reportsUnknownProjectPathAsNotFound"
"","1116","Return 204 with an empty body","","2026-09-21","passed","2026-09-21","","DELETE /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueDeleteTest","returnsNoContentWithAnEmptyBody"
"","2411","Parse a non-ISO due_date rather than discarding it (FINDING-1) Non-ISO due_date 2026/12/31 is parsed, not discarded","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","parsesNonIsoDueDate"
"","1972","Assign iid sequentially per project while id stays globally unique","","2026-09-21","passed","2026-09-21","","POST /projects/:id/issues","com.qa.gitlab.tests.IssueCreateTest","assignsSequentialInternalIdsWithinProject"
"","1417","Treat removing an absent label as a no-op","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","removingAnAbsentLabelIsANoOp"
"","1488","Delete a confidential issue","","2026-09-21","passed","2026-09-21","","DELETE /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueDeleteTest","deletesConfidentialIssue"
"","184","Reject an unsupported state filter Unsupported state filter is rejected: open","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsUnsupportedStateFilter"
"","1722","Delete a closed issue","","2026-09-21","passed","2026-09-21","","DELETE /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueDeleteTest","deletesClosedIssue"
"","997","Accept and silently discard an unparseable start_date (FINDING-1) Unparseable start_date is silently discarded: 2026-13-01","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsAndDiscardsUnparseableStartDate"
"","6175","Return 404 on a second delete of the same issue","","2026-09-21","passed","2026-09-21","","DELETE /projects/:id/issues/:iid - errors","com.qa.gitlab.tests.IssueDeleteNegativeTest","secondDeleteReturnsNotFound"
"","1219","Make a created issue immediately readable (read-your-writes)","","2026-09-21","passed","2026-09-21","","POST /projects/:id/issues","com.qa.gitlab.tests.IssueCreateTest","createdIssueIsImmediatelyReadable"
"","1127","Do not resolve an issue by its global id in place of its internal id","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues/:iid - not found","com.qa.gitlab.tests.IssueReadNotFoundTest","addressesIssuesByInternalIdNotGlobalId"
"","313","Accept every documented scope value scope=ASSIGNED_TO_ME is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedScopeValue"
"","182","Match the error contract in the body of a rejected-auth response","","2026-09-21","passed","2026-09-21","","Issues API authentication and authorization","com.qa.gitlab.tests.IssueAuthorizationTest","errorBodyForRejectedAuthMatchesTheContract"
"","210","Reject a create issue_type that is not an exact lowercase match issue_type test_case-1 is rejected on create","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateIssueTypeThatIsNotAnExactMatch"
"","2263","Require every requested label to match, not just one","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","requiresAllLabelsToMatch"
"","1253","Store unusual titles verbatim sql-shaped title round-trips verbatim","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","storesUnusualTitlesVerbatim"
"","249","Return 404 for an unknown internal id","","2026-09-21","passed","2026-09-21","","PUT /projects/:id/issues/:iid - errors","com.qa.gitlab.tests.IssueUpdateNegativeTest","returnsNotFoundForUnknownInternalId"
"","864","Trim surrounding whitespace from the title","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","trimsSurroundingWhitespaceFromTitle"
"","2879","Filter by a single label","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","filtersByLabel"
"","241","Handle a create field of the wrong JSON type without a server error Wrong-typed weight=heavy is handled without a server error","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","handlesWrongTypedCreateField"
"","365","Reject a blank title Blank title is rejected: [   ]","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","rejectsBlankTitle"
"","2842","Filter by assignee","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","filtersByAssignee"
"","1754","Resolve the same issue by URL-encoded project path as by numeric id","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueReadTest","resolvesSameIssueByUrlEncodedProjectPath"
"","1220","Create an issue already assigned to a user","","2026-09-21","passed","2026-09-21","","POST /projects/:id/issues","com.qa.gitlab.tests.IssueCreateTest","assignsIssueToTheRequestedUser"
"","1928","Restrict search to the requested field via in=title or in=description","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","restrictsSearchToTheRequestedField"
"","238","Reject a create severity that is not an exact lowercase match severity UNKNOWN is rejected on create","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateSeverityThatIsNotAnExactMatch"
"","160","Reject a malformed created_at rather than silently dropping it created_at 2026-09-04T25:00:00Z is rejected","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsMalformedCreatedAt"
"","1582","Clear the description on update","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","clearsDescriptionOnUpdate"
"","3268","Clamp per_page above 100 rather than rejecting or honouring it","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","clampsPageSizeAboveTheDocumentedMaximum"
"","1302","List issues by URL-encoded project path","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","listsIssuesByUrlEncodedProjectPath"
"","159","Reject a non-numeric issue iid as invalid rather than reporting it not found Non-numeric iid 0b23 is invalid, not merely absent","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsNonNumericIssueIid"
"","152","Reject an unsupported sort direction Unsupported sort direction is rejected: ascending","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsUnsupportedSortDirection"
"","7504","Omit X-Next-Page on the last page","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","omitsNextPageOnTheLastPage"
"","0","Deduplicate a repeated label (disabled - FINDING-2)","","2026-09-21","skipped","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","deduplicatesRepeatedLabels"
"","858","Parse a non-ISO due_date rather than discarding it (FINDING-1) Non-ISO due_date 20261231 is parsed, not discarded","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","parsesNonIsoDueDate"
"","7657","Omit X-Prev-Page on the first page","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","omitsPreviousPageOnTheFirstPage"
"","635","Return 404 for an unknown internal id","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues/:iid - not found","com.qa.gitlab.tests.IssueReadNotFoundTest","returnsNotFoundForUnknownInternalId"
"","436","Reject a title one character beyond the maximum","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","rejectsTitleBeyondMaximumLength"
"","686","Return an empty array, not a 404, when nothing matches","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","returnsEmptyListWhenNothingMatches"
"","2265","Combine multiple filters conjunctively","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","combinesFiltersConjunctively"
"","213","Reject a malformed created_at rather than silently dropping it created_at not-a-date is rejected","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsMalformedCreatedAt"
"","1582","Accept 25 labels on a single issue","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsManyLabels"
"","280","Accept every documented due_date shortcut due_date=WEEK is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedDueDateShortcut"
"","1427","Keep a single-result list as an array, not a bare object","","2026-09-21","passed","2026-09-21","","Response schema contract","com.qa.gitlab.tests.IssueSchemaTest","singleResultListIsStillAnArray"
"","165","Reject a non-numeric issue iid as invalid rather than reporting it not found Non-numeric iid abc is invalid, not merely absent","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsNonNumericIssueIid"
"","206","Reject a create issue_type that is not an exact lowercase match issue_type ISSUE is rejected on create","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateIssueTypeThatIsNotAnExactMatch"
"","3147","Filter by confidentiality","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","filtersByConfidentiality"
"","1058","Accept a title at the documented 255-character maximum","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsTitleAtMaximumLength"
"","1151","Accept a large description well inside the ~1 MB limit","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsLargeDescription"
"","1995","Filter by issue_type","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","filtersByIssueType"
"","1746","Toggle confidentiality on and off","","2026-09-21","passed","2026-09-21","","PUT /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueUpdateTest","togglesConfidentiality"
"","905","Accept and silently discard an unparseable start_date (FINDING-1) Unparseable start_date is silently discarded: 2026-02-30","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsAndDiscardsUnparseableStartDate"
"","2471","Handle a non-positive per_page value Per_page=0 is rejected or coerced, never honoured verbatim","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","handlesNonPositivePageSizes"
"","1373","Replace the whole label set","","2026-09-21","passed","2026-09-21","","PUT /projects/:id/issues/:iid","com.qa.gitlab.tests.IssueUpdateTest","replacesTheWholeLabelSet"
"","197","Reject a create issue_type that is not an exact lowercase match issue_type INCIDENT is rejected on create","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateIssueTypeThatIsNotAnExactMatch"
"","2730","Filter by absence of a due date","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","filtersByAbsenceOfDueDate"
"","966","Accept and silently discard an unparseable start_date (FINDING-1) Unparseable start_date is silently discarded: not-a-date","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsAndDiscardsUnparseableStartDate"
"","1401","Handle a create field of the wrong JSON type without a server error Wrong-typed title=999 is handled without a server error","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","handlesWrongTypedCreateField"
"","309","Return error responses as JSON, not HTML","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","errorResponsesAreJson"
"","746","Create an issue with only the mandatory title","","2026-09-21","passed","2026-09-21","","POST /projects/:id/issues","com.qa.gitlab.tests.IssueCreateTest","createsIssueWithTitleOnly"
"","378","Accept every documented order_by value order_by=TITLE is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedOrderByValue"
"","747","Create an issue without optional fields and leave them at their server default","","2026-09-21","passed","2026-09-21","","POST /projects/:id/issues","com.qa.gitlab.tests.IssueCreateTest","createsIssueWithoutOptionalFields"
"","2241","Create an issue with every optional field populated","","2026-09-21","passed","2026-09-21","","POST /projects/:id/issues","com.qa.gitlab.tests.IssueCreateTest","createsIssueWithFullPayload"
"","1937","Handle a non-numeric page number","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - pagination","com.qa.gitlab.tests.IssuePaginationTest","handlesNonNumericPageNumber"
"","1180","Accept a due date far in the future","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsDueDateFarInTheFuture"
"","207","Reject a create issue_type that is not an exact lowercase match issue_type 123 is rejected on create","","2026-09-21","passed","2026-09-21","","Issues API error handling","com.qa.gitlab.tests.IssueValidationTest","rejectsCreateIssueTypeThatIsNotAnExactMatch"
"","1433","Match the collection schema on a list response","","2026-09-21","passed","2026-09-21","","Response schema contract","com.qa.gitlab.tests.IssueSchemaTest","listResponseMatchesCollectionSchema"
"","260","Return 404 for an unknown project","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues/:iid - not found","com.qa.gitlab.tests.IssueReadNotFoundTest","returnsNotFoundForUnknownProject"
"","1609","Reject an anonymous delete request without deleting the issue","","2026-09-21","passed","2026-09-21","","Issues API authentication and authorization","com.qa.gitlab.tests.IssueAuthorizationTest","rejectsAnonymousDelete"
"","1326","Accept a due date in the past","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsDueDateInThePast"
"","519","Accept every documented state filter value state=CLOSED is accepted","","2026-09-21","passed","2026-09-21","","GET /projects/:id/issues - filters","com.qa.gitlab.tests.IssueListFilterTest","acceptsEveryDocumentedStateValue"
"","935","Accept and silently discard an unparseable due_date (FINDING-1) Unparseable due_date is silently discarded: 2026-02-30","","2026-09-21","passed","2026-09-21","","Issue field boundaries and unusual inputs","com.qa.gitlab.tests.IssueBoundaryTest","acceptsAndDiscardsUnparseableDueDate"
